2023-04-05 21:56:23,729 - lr:1e-05,weight_decay:0.01,batch_size:20
2023-04-05 21:56:23,729 - Multi_Scale_CNN(
  (conv1): Conv1d(20, 20, kernel_size=(2,), stride=(1,))
  (conv2): Conv1d(20, 20, kernel_size=(3,), stride=(1,))
  (conv3): Conv1d(20, 20, kernel_size=(4,), stride=(1,))
  (fc1): Linear(in_features=111, out_features=1000, bias=True)
  (fc2): Linear(in_features=1000, out_features=2, bias=True)
)
2023-04-05 21:57:05,257 - Epoch:70/200,Train Accuracy:52.238807678222656%
2023-04-05 21:57:05,398 - Epoch:71/200,Train Accuracy:47.98507308959961%
2023-04-05 21:57:05,539 - Epoch:72/200,Train Accuracy:50.52238845825195%
2023-04-05 21:57:05,679 - Epoch:73/200,Train Accuracy:50.89552307128906%
2023-04-05 21:57:05,819 - Epoch:74/200,Train Accuracy:51.7164192199707%
2023-04-05 21:57:05,960 - Epoch:75/200,Train Accuracy:51.343284606933594%
2023-04-05 21:57:06,101 - Epoch:76/200,Train Accuracy:49.47761154174805%
2023-04-05 21:57:06,240 - Epoch:77/200,Train Accuracy:50.74626922607422%
2023-04-05 21:57:06,381 - Epoch:78/200,Train Accuracy:50.29850769042969%
2023-04-05 21:57:06,522 - Epoch:79/200,Train Accuracy:50.44776153564453%
2023-04-05 21:57:06,663 - Epoch:80/200,Train Accuracy:51.64179229736328%
2023-04-05 21:57:06,803 - Epoch:81/200,Train Accuracy:52.761192321777344%
2023-04-05 21:57:06,944 - Epoch:82/200,Train Accuracy:50.52238845825195%
2023-04-05 21:57:07,085 - Epoch:83/200,Train Accuracy:52.164180755615234%
2023-04-05 21:57:07,226 - Epoch:84/200,Train Accuracy:50.74626922607422%
2023-04-05 21:57:07,367 - Epoch:85/200,Train Accuracy:51.86567306518555%
2023-04-05 21:57:07,508 - Epoch:86/200,Train Accuracy:50.82089614868164%
2023-04-05 21:57:07,663 - Epoch:87/200,Train Accuracy:52.3880615234375%
2023-04-05 21:57:07,802 - Epoch:88/200,Train Accuracy:51.26865768432617%
2023-04-05 21:57:07,943 - Epoch:89/200,Train Accuracy:52.3880615234375%
2023-04-05 21:57:08,083 - Epoch:90/200,Train Accuracy:48.208953857421875%
2023-04-05 21:57:08,222 - Epoch:91/200,Train Accuracy:50.0%
