2023-04-19 11:19:26,877 - lr:1e-05,weight_decay:0.01,batch_size:20
2023-04-19 11:19:26,877 - LSTMModel(
  (input_layer): Linear(in_features=39, out_features=128, bias=True)
  (lstm_layers): LSTM(128, 128, num_layers=3, batch_first=True)
  (dropout_layer): Dropout(p=0.5, inplace=False)
  (bn_layer): BatchNorm1d(128, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  (fc_layer): Linear(in_features=128, out_features=64, bias=True)
  (softmax_layer): Linear(in_features=64, out_features=2, bias=True)
  (softmax): Softmax(dim=1)
)
2023-04-19 11:19:26,877 - This is for user7
2023-04-19 11:23:28,712 - Epoch:10/200,Train Accuracy:64.40298461914062%
2023-04-19 11:23:29,934 - Epoch:11/200,Train Accuracy:50.82089614868164%
2023-04-19 11:23:31,125 - Epoch:12/200,Train Accuracy:50.82089614868164%
2023-04-19 11:23:32,343 - Epoch:13/200,Train Accuracy:50.82089614868164%
2023-04-19 11:23:33,539 - Epoch:14/200,Train Accuracy:50.82089614868164%
2023-04-19 11:23:34,744 - Epoch:15/200,Train Accuracy:50.82089614868164%
2023-04-19 11:23:35,945 - Epoch:16/200,Train Accuracy:50.82089614868164%
2023-04-19 11:23:37,155 - Epoch:17/200,Train Accuracy:50.82089614868164%
2023-04-19 11:23:38,381 - Epoch:18/200,Train Accuracy:50.82089614868164%
2023-04-19 11:23:39,598 - Epoch:19/200,Train Accuracy:50.82089614868164%
2023-04-19 11:23:40,828 - Epoch:20/200,Train Accuracy:50.82089614868164%
2023-04-19 11:23:42,052 - Epoch:21/200,Train Accuracy:50.82089614868164%
2023-04-19 11:23:43,290 - Epoch:22/200,Train Accuracy:50.82089614868164%
2023-04-19 11:23:44,528 - Epoch:23/200,Train Accuracy:50.82089614868164%
2023-04-19 11:23:45,758 - Epoch:24/200,Train Accuracy:50.82089614868164%
2023-04-19 11:23:46,995 - Epoch:25/200,Train Accuracy:50.82089614868164%
2023-04-19 11:23:48,223 - Epoch:26/200,Train Accuracy:50.82089614868164%
2023-04-19 11:23:49,523 - Epoch:27/200,Train Accuracy:50.82089614868164%
2023-04-19 11:23:50,809 - Epoch:28/200,Train Accuracy:50.82089614868164%
2023-04-19 11:23:52,086 - Epoch:29/200,Train Accuracy:50.82089614868164%
2023-04-19 11:23:53,390 - Epoch:30/200,Train Accuracy:50.82089614868164%
2023-04-19 11:23:54,697 - Epoch:31/200,Train Accuracy:50.82089614868164%
2023-04-19 11:23:55,999 - Epoch:32/200,Train Accuracy:50.82089614868164%
2023-04-19 11:23:57,312 - Epoch:33/200,Train Accuracy:50.82089614868164%
2023-04-19 11:23:58,621 - Epoch:34/200,Train Accuracy:50.82089614868164%
2023-04-19 11:24:00,020 - Epoch:35/200,Train Accuracy:50.82089614868164%
2023-04-19 11:24:01,374 - Epoch:36/200,Train Accuracy:50.82089614868164%
2023-04-19 11:24:02,778 - Epoch:37/200,Train Accuracy:50.82089614868164%
2023-04-19 11:24:04,143 - Epoch:38/200,Train Accuracy:50.82089614868164%
2023-04-19 11:24:05,543 - Epoch:39/200,Train Accuracy:50.82089614868164%
2023-04-19 11:24:06,889 - Epoch:40/200,Train Accuracy:50.82089614868164%
2023-04-19 11:24:08,251 - Epoch:41/200,Train Accuracy:50.82089614868164%
2023-04-19 11:24:09,634 - Epoch:42/200,Train Accuracy:50.82089614868164%
2023-04-19 11:24:11,030 - Epoch:43/200,Train Accuracy:50.82089614868164%
2023-04-19 11:24:12,440 - Epoch:44/200,Train Accuracy:50.82089614868164%
2023-04-19 11:24:13,836 - Epoch:45/200,Train Accuracy:50.82089614868164%
2023-04-19 11:24:15,305 - Epoch:46/200,Train Accuracy:50.82089614868164%
2023-04-19 11:24:16,717 - Epoch:47/200,Train Accuracy:50.82089614868164%
2023-04-19 11:24:18,119 - Epoch:48/200,Train Accuracy:50.82089614868164%
2023-04-19 11:24:19,551 - Epoch:49/200,Train Accuracy:50.82089614868164%
