2023-04-19 16:18:36,706 - lr:0.001,weight_decay:1e-06,batch_size:20
2023-04-19 16:18:36,707 - LSTM_RNN(
  (lstm): LSTM(39, 256, num_layers=3, batch_first=True, dropout=0.5)
  (batch_norm): BatchNorm1d(256, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  (lin): Linear(in_features=256, out_features=64, bias=True)
  (lin2): Linear(in_features=64, out_features=64, bias=True)
  (output_layer): Linear(in_features=64, out_features=2, bias=True)
  (relu): ReLU()
)
2023-04-19 16:26:40,443 - Epoch:29/200,Train Accuracy:80.0%
2023-04-19 16:26:42,492 - Epoch:30/200,Train Accuracy:81.11940002441406%
2023-04-19 16:26:44,557 - Epoch:31/200,Train Accuracy:82.3880615234375%
2023-04-19 16:26:46,608 - Epoch:32/200,Train Accuracy:80.223876953125%
2023-04-19 16:26:48,686 - Epoch:33/200,Train Accuracy:80.29850769042969%
2023-04-19 16:26:50,744 - Epoch:34/200,Train Accuracy:81.11940002441406%
2023-04-19 16:26:52,816 - Epoch:35/200,Train Accuracy:80.0%
2023-04-19 16:26:54,921 - Epoch:36/200,Train Accuracy:80.74626922607422%
2023-04-19 16:26:57,008 - Epoch:37/200,Train Accuracy:81.19403076171875%
2023-04-19 16:26:59,116 - Epoch:38/200,Train Accuracy:82.01492309570312%
2023-04-19 16:27:01,252 - Epoch:39/200,Train Accuracy:79.92537689208984%
2023-04-19 16:27:03,484 - Epoch:40/200,Train Accuracy:79.62686920166016%
2023-04-19 16:27:05,566 - Epoch:41/200,Train Accuracy:80.52238464355469%
2023-04-19 16:27:07,675 - Epoch:42/200,Train Accuracy:80.0%
2023-04-19 16:27:09,767 - Epoch:43/200,Train Accuracy:79.85074615478516%
2023-04-19 16:27:11,931 - Epoch:44/200,Train Accuracy:81.2686538696289%
2023-04-19 16:27:14,052 - Epoch:45/200,Train Accuracy:81.41790771484375%
2023-04-19 16:27:16,125 - Epoch:46/200,Train Accuracy:80.29850769042969%
2023-04-19 16:27:18,224 - Epoch:47/200,Train Accuracy:80.37313079833984%
2023-04-19 16:27:20,328 - Epoch:48/200,Train Accuracy:81.2686538696289%
2023-04-19 16:27:22,420 - Epoch:49/200,Train Accuracy:81.11940002441406%
2023-04-19 16:27:24,535 - Epoch:50/200,Train Accuracy:81.3432846069336%
2023-04-19 16:27:26,627 - Epoch:51/200,Train Accuracy:79.40298461914062%
2023-04-19 16:27:28,730 - Epoch:52/200,Train Accuracy:81.79104614257812%
2023-04-19 16:27:30,820 - Epoch:53/200,Train Accuracy:80.29850769042969%
2023-04-19 16:27:32,911 - Epoch:54/200,Train Accuracy:80.74626922607422%
2023-04-19 16:27:34,998 - Epoch:55/200,Train Accuracy:80.74626922607422%
2023-04-19 16:27:37,124 - Epoch:56/200,Train Accuracy:80.44776153564453%
2023-04-19 16:27:39,201 - Epoch:57/200,Train Accuracy:82.53731536865234%
2023-04-19 16:27:41,308 - Epoch:58/200,Train Accuracy:81.41790771484375%
2023-04-19 16:27:43,408 - Epoch:59/200,Train Accuracy:80.67163848876953%
2023-04-19 16:27:45,511 - Epoch:60/200,Train Accuracy:81.2686538696289%
2023-04-19 16:27:47,624 - Epoch:61/200,Train Accuracy:81.5671615600586%
2023-04-19 16:27:49,717 - Epoch:62/200,Train Accuracy:82.08955383300781%
2023-04-19 16:27:51,825 - Epoch:63/200,Train Accuracy:80.89552307128906%
2023-04-19 16:27:54,022 - Epoch:64/200,Train Accuracy:81.0447769165039%
2023-04-19 16:27:56,144 - Epoch:65/200,Train Accuracy:81.64179229736328%
2023-04-19 16:27:58,158 - Epoch:66/200,Train Accuracy:81.2686538696289%
2023-04-19 16:28:00,308 - Epoch:67/200,Train Accuracy:80.89552307128906%
2023-04-19 16:28:02,446 - Epoch:68/200,Train Accuracy:80.74626922607422%
2023-04-19 16:28:04,575 - Epoch:69/200,Train Accuracy:81.49253845214844%
2023-04-19 16:28:06,679 - Epoch:70/200,Train Accuracy:81.49253845214844%
2023-04-19 16:28:08,821 - Epoch:71/200,Train Accuracy:82.16417694091797%
2023-04-19 16:28:10,969 - Epoch:72/200,Train Accuracy:82.68656921386719%
2023-04-19 16:28:13,140 - Epoch:73/200,Train Accuracy:81.71641540527344%
2023-04-19 16:28:15,265 - Epoch:74/200,Train Accuracy:81.94029998779297%
2023-04-19 16:28:17,335 - Epoch:75/200,Train Accuracy:81.64179229736328%
2023-04-19 16:28:19,602 - Epoch:76/200,Train Accuracy:81.49253845214844%
2023-04-19 16:28:21,824 - Epoch:77/200,Train Accuracy:81.64179229736328%
2023-04-19 16:28:23,941 - Epoch:78/200,Train Accuracy:81.94029998779297%
2023-04-19 16:28:26,002 - Epoch:79/200,Train Accuracy:81.86566925048828%
2023-04-19 16:28:28,083 - Epoch:80/200,Train Accuracy:81.19403076171875%
2023-04-19 16:28:30,135 - Epoch:81/200,Train Accuracy:81.41790771484375%
2023-04-19 16:28:32,267 - Epoch:82/200,Train Accuracy:81.79104614257812%
2023-04-19 16:28:34,619 - Epoch:83/200,Train Accuracy:81.79104614257812%
2023-04-19 16:28:36,772 - Epoch:84/200,Train Accuracy:81.86566925048828%
2023-04-19 16:28:38,831 - Epoch:85/200,Train Accuracy:82.53731536865234%
2023-04-19 16:28:40,904 - Epoch:86/200,Train Accuracy:82.08955383300781%
2023-04-19 16:28:42,995 - Epoch:87/200,Train Accuracy:81.3432846069336%
2023-04-19 16:28:45,084 - Epoch:88/200,Train Accuracy:81.94029998779297%
2023-04-19 16:28:47,165 - Epoch:89/200,Train Accuracy:81.5671615600586%
2023-04-19 16:28:49,296 - Epoch:90/200,Train Accuracy:82.31343078613281%
2023-04-19 16:28:51,411 - Epoch:91/200,Train Accuracy:81.86566925048828%
2023-04-19 16:28:53,533 - Epoch:92/200,Train Accuracy:82.53731536865234%
2023-04-19 16:28:55,629 - Epoch:93/200,Train Accuracy:81.86566925048828%
